Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.126104544,,,,,,,,,,3.340529255,,,,,3.44305899,,,,3.686147408,,,,,
Number of deaths ages 15-19 years,SH.DTH.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,1876,1729,1621,1569,1561,1576,1595,1599,1581,1565,1559,1547,1506,1461,1426,1396,1367,1328,1263,1169,1074,996,953,937,932,924,913,902,899,903,922,948,968,
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,19.44,19.65,19.76,19.75,19.53,19.22,18.8,18.28,17.7,17.23,16.97,16.62,16.4,16.39,16.5,16.69,16.88,16.95,16.95,16.83,,,,
Urban population growth (annual %),SP.URB.GROW,,0.671184467,0.673704361,0.571825966,0.472118753,0.464013102,0.372529035,0.356869361,0.304763643,0.233466984,0.214756287,0.304787165,0.553029991,0.404128406,0.273546305,0.201334061,0.182433892,0.173736324,0.208985649,0.2929404,0.321044093,0.171068339,-0.098212658,-0.029582808,0.095812763,0.163188346,0.167807267,0.148791811,0.15817815,0.19638445,0.234964714,0.273408736,0.347213793,0.316469262,0.332530132,0.341153614,0.331173754,0.332766255,0.367838511,0.408505665,0.433615661,0.512040255,0.798501015,0.834359753,0.933797334,1.045133677,1.089795475,1.127189955,1.131869196,1.095105268,1.117771085,1.110599171,1.039074725,0.992828926,1.066956567,1.038005384,1.108396329,0.855290081,0.794682746,0.818697367,0.469050072,0.655270844,1.213238092,1.593669472,1.351458222
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,98.8,,,,,99.6,,,,,,,100,100,,,,,,100,,,,,,,,
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.69324436,51.63841985,51.56832758,51.51476706,51.48641984,51.4733139,51.46585425,51.46215203,51.46484441,51.46482341,51.44769758,51.41459877,51.39069023,51.37610097,51.35663336,51.33777499,51.32944283,51.33449477,51.33926309,51.33356456,51.33098969,51.34111888,51.3524849,51.30473486,51.26198834,51.2846468,51.31124632,51.2913998,51.51909253,51.77520392,51.777612,51.78655903,51.72607603,51.66247366,51.65828342,51.63995613,51.61584764,51.59683316,51.57874078,51.55589802,51.52365317,51.48389668,51.44603202,51.41136253,51.3788083,51.34783574,51.31298464,51.27194381,51.23019286,51.19207005,51.14701292,51.10284817,51.07116294,51.03999591,51.00435489,50.95890451,50.91199328,50.88277322,50.86283617,50.83816118,50.81240591,50.79244063,50.77941967,50.77004105,50.75877817
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485.75438,2495.08042,2694.02542,2853.23907,2893.37563,3078.40932,3335.62719,3631.25708,3818.23524,4117.74512,4176.43751,4122.71329,4077.28663,4113.41572,4089.20558,3973.02377,4017.98198,4171.80763,4280.79983,4389.5625,4434.65942,4472.69458,,,,,,,
Age dependency ratio (% of working-age population),SP.POP.DPND,53.95051408,54.04823892,53.92020898,54.05807343,54.59004024,55.2888834,56.02910427,56.84540381,57.69226518,58.46513978,59.12963857,59.65194495,60.00464956,60.15232197,60.07808443,59.74938697,59.14944635,58.40496256,57.66223864,56.92214987,56.17721445,55.36582981,54.39871484,53.34833438,52.5937758,52.37738583,52.38189511,52.36980276,52.87746099,53.54135512,53.89106236,54.3376013,54.77719376,55.05121004,55.12213449,55.00676757,54.81962647,54.61429949,54.34838665,53.97671591,53.43148587,52.88233278,52.49643016,52.35729295,52.21578634,51.82757156,51.40084829,51.15618621,51.19472266,51.44068526,51.73802316,52.28144451,53.22979209,54.15481216,54.84385954,55.40156159,55.92459265,56.47995952,57.00444496,57.43102136,57.65938086,57.61296084,57.62819234,57.84639733,57.93999124
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.738905691,1.728106664,1.716004534,1.735180367,1.765737952,1.755599035,1.726136107,1.719248055,1.724563417,1.723473053,1.725630935,1.731801119,1.739661334,1.753088533,1.785539988,1.843139143,1.918962051,2.005221512,2.0952416,2.178579068,2.250581535,2.31586388,2.375856748,2.431877823,2.478436933,2.511619291,2.537431143,2.560809569,2.624927989,2.688045209,2.700839964,2.684400927,2.609931388,2.483565987,2.410018437,2.474008757,2.597919228,2.727003891,2.862397672,2.940754443,2.937281026,2.916242812,2.907012642,2.898822022,2.895334938,2.894775649,2.896318762,2.897575341,2.898488156,2.905238494,2.920248481,2.946667671,2.989613029,3.050396721,3.111990652,3.135054225,3.118336834,3.117730845,3.161002654,3.223518966,3.266393007,3.366887138,3.634633321,3.908576137,4.038681384
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.69548394,11.75909437,11.80406305,11.89982874,12.05652722,12.21853326,12.37397475,12.54381257,12.72487122,12.90765354,13.10639746,13.31070314,13.50280003,13.69532125,13.9059638,14.11388987,14.29987948,14.48720753,14.68249095,14.85618245,14.99417852,15.07210473,15.06261787,14.97186482,14.95416046,15.11474464,15.3124936,15.45618758,15.6504024,15.81231331,15.87234679,15.92557367,15.9641386,15.97637025,15.98198724,15.99411823,15.99366382,15.97799165,15.94573794,15.90464242,15.88975785,15.90913706,15.93145607,15.94404901,15.96075248,15.95783676,15.93118777,15.94856621,16.03670554,16.18019632,16.33838537,16.58746499,16.97334404,17.32790658,17.58408439,17.7699802,17.91620257,18.07341362,18.25575007,18.45795809,18.60579533,18.71864877,18.93031472,19.23812911,19.49976736
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,13.89741219,14.03103642,14.13987154,14.28685216,14.48799725,14.69968484,14.89799046,15.09423995,15.29276338,15.49474589,15.71849375,15.94981113,16.16117631,16.36701999,16.5949265,16.82187964,17.01866951,17.21085592,17.41509232,17.60049302,17.74764976,17.82822306,17.81685852,17.74353753,17.74634348,17.90880422,18.09938376,18.24483048,18.34099146,18.37872126,18.39891274,18.40572859,18.41735747,18.40351621,18.36835827,18.34380625,18.29829643,18.22438699,18.12814092,18.02373466,17.94923328,17.90986439,17.87118985,17.81574226,17.76102967,17.68938312,17.60337738,17.57789995,17.62590515,17.73602891,17.87002794,18.08228543,18.41617039,18.71846601,18.93491631,19.09310003,19.22533734,19.38283319,19.56753055,19.78096474,19.94455412,20.06739853,20.29252079,20.61850193,20.89813782
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,4.757855683,4.910578949,5.044251809,5.193720429,5.330740226,5.406961692,5.448571943,5.488034596,5.530364839,5.564073178,5.574638579,5.559447167,5.539176084,5.523243934,5.503019277,5.460104911,5.362927916,5.179186387,4.921629301,4.756894345,4.824643232,5.010823284,5.213843777,5.40435481,5.484703224,5.398494043,5.256296332,5.154841931,5.180316756,5.218230141,5.153282662,5.08607079,5.012996101,4.944556653,4.893926635,4.858349073,4.847513317,4.869839926,4.925875933,4.996039308,5.025570281,4.993164871,4.964220465,4.982357339,5.021275678,5.087374402,5.292572854,5.619254056,5.867122032,5.98817959,6.043716213,5.949205344,5.697848328,5.491192448,5.388719541,5.346043913,5.362635743,5.422534407,5.505928259,5.589458558,5.639578723,5.695658388,5.777158344,5.829443227,5.866282534
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,6.931928603,6.895666802,6.844150631,6.803711237,6.757775798,6.66134822,6.492407599,6.232237892,5.901274185,5.674710929,5.714111385,5.895385201,6.09997949,6.330586399,6.444527798,6.329653998,6.146578011,6.019819885,5.926047028,5.854981501,5.796441782,5.745984592,5.693509188,5.617071825,5.533601485,5.474658058,5.444183087,5.446443181,5.538370239,5.651560343,5.673990814,5.63605327,5.599341458,5.621680417,5.684639988,5.77926224,6.038073558,6.442157688,6.752238621,6.909939809,6.984493487,6.887970377,6.612317453,6.366965631,6.230587635,6.166781725,6.164936561,6.209176249,6.287326948,6.365277469,6.425354961,6.501244444,6.56964398,6.586621425,6.591774189,6.616539477,6.603740598,6.593791579,6.610132483,6.637945204,6.641870991,6.610884607,6.615743378,6.631777399,6.552455235
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,6.554291676,6.748339209,6.939660782,7.111083288,7.155758537,6.983785342,6.744198548,6.562762556,6.419935584,6.309376093,6.213192698,6.122389419,6.038487687,5.953177757,5.866914232,5.801347304,5.77181848,5.787809802,5.850483948,5.937416711,5.982834186,5.961930139,5.96155713,6.015569221,6.080801511,6.171384919,6.425646331,6.817448696,7.154786885,7.356160492,7.44753689,7.359743008,7.058314976,6.799775012,6.679119467,6.631425336,6.653134929,6.723963337,6.822900907,6.925055306,7.019365664,7.132546361,7.226966949,7.248008062,7.252711636,7.288107121,7.279668751,7.262254873,7.267034853,7.276602531,7.22441642,7.125004848,7.082823023,7.047751586,6.929560599,6.774774064,6.628790268,6.433007207,6.268391425,6.218883344,6.241993362,6.313976318,6.430023051,6.546795751,6.601496944
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,6.735972536,6.658653554,6.595766101,6.488929643,6.350041807,6.250718503,6.202226415,6.189862647,6.211833603,6.255480175,6.271651096,6.233529125,6.209648584,6.252106996,6.319743128,6.410264869,6.67230594,7.088300801,7.404170326,7.561252205,7.652885516,7.584454527,7.320882089,7.102780809,7.007382407,6.963256057,6.971919025,7.038331284,7.121667544,7.206457681,7.305237214,7.420924647,7.529776473,7.579438788,7.607615818,7.656706339,7.658764099,7.654535087,7.666550731,7.694354649,7.684390851,7.613453725,7.56806877,7.521312768,7.392819321,7.23122703,7.079670133,6.871815921,6.707733513,6.667131135,6.709683877,6.78417368,6.863988589,6.924317988,6.936737736,6.943372265,6.950070637,6.907543862,6.788399292,6.708105582,6.689859506,6.722219584,6.825605307,6.946432342,7.015444981
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.493362985,6.447952087,6.470443063,6.570694092,6.663369942,6.732911827,6.975553645,7.362373724,7.64858002,7.797039412,7.896636568,7.836090448,7.576301835,7.35928825,7.270324936,7.24032638,7.28013333,7.376514186,7.4745899,7.591331152,7.758186554,7.93282609,8.092796624,8.305381731,8.537532537,8.704337967,8.746377906,8.702370827,8.324216306,7.96189443,7.87815734,7.749557706,7.685538394,7.612365005,7.416323059,7.17707725,6.945586167,6.646233355,6.389969129,6.283571989,6.295854001,6.368164061,6.469130476,6.596413118,6.72911176,6.847436516,6.936992286,6.957753244,6.82979391,6.711262191,6.724374973,6.776047573,6.825441046,6.900481385,6.933023308,6.864315008,6.774254573,6.678261518,6.596676802,6.533081991,6.490058789,6.427859484,6.271175397,6.079880975,6.005507705
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,65.8941881,65.93702224,66.07269566,66.07934204,65.90524276,65.66031487,65.39277223,65.08712663,64.77404993,64.50124263,64.26653729,64.08310994,63.97481325,63.95062929,64.01688827,64.18554591,64.44969543,64.76546973,65.09121062,65.43062767,65.77603797,66.14067588,66.56954486,67.05269522,67.41709121,67.53354804,67.53659479,67.56028121,67.21940261,66.77144268,66.57989493,66.33735071,66.1275829,65.98951728,65.91446056,65.92453095,65.95223787,65.97471312,66.02815511,66.1311,66.31380862,66.51116299,66.63979709,66.63402247,66.61995841,66.73440731,66.88189767,66.96394363,66.92053658,66.79218131,66.65450585,66.39680972,65.94451841,65.50532185,65.18487783,64.93477558,64.71136567,64.48621106,64.27645739,64.11837415,64.04810956,64.08810535,64.10932219,64.05210786,64.04585641
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,7.2226495,7.537211698,7.88635949,8.066381892,8.117710927,8.150083525,8.026950529,7.727332256,7.477626785,7.365673299,7.319591607,7.329849536,7.393581764,7.472451365,7.584888119,7.758667058,7.954093251,8.144622929,8.339293392,8.540730465,8.703909918,8.801700043,8.834577903,8.808257214,8.657158544,8.403485935,8.2062304,8.035518561,7.810169332,7.522734877,7.260348799,7.010280623,6.713376281,6.452269169,6.318461752,6.323902549,6.396229496,6.493793867,6.57133725,6.598234646,6.64030735,6.727425723,6.78663098,6.716887584,6.622059562,6.579195451,6.567525981,6.602975189,6.690160307,6.740741349,6.682756157,6.586524287,6.465555868,6.351311705,6.255364367,6.156966346,6.038508445,5.916994984,5.831044455,5.795328103,5.796720131,5.843701098,5.933876865,6.047743541,6.179547613
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,7.716932946,7.69060748,7.747697781,7.863744832,7.994211611,8.121257162,8.260551572,8.400254296,8.544856934,8.686913721,8.780579794,8.813401387,8.819171767,8.781013003,8.666082854,8.516533892,8.370341216,8.18548326,7.931937586,7.618944791,7.264291315,6.893520391,6.562067778,6.337622209,6.272676348,6.337589139,6.452843253,6.565165867,6.736987289,6.861789823,6.889169894,6.933849973,6.940746587,6.863078157,6.813432391,6.812557863,6.811985841,6.849029429,6.934860799,6.959945318,6.854196557,6.722445587,6.602659695,6.510644256,6.424104346,6.315058681,6.180449301,6.043533006,5.943892415,5.892753783,5.886771316,5.942397898,6.060347331,6.196379342,6.309380112,6.398819365,6.475293992,6.527593289,6.53762394,6.51598593,6.488081655,6.429808541,6.3261276,6.2093076,6.087081844
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,24.76661978,24.72976566,24.6103274,24.55700256,24.61869696,24.7529634,24.90973208,25.07314621,25.22397459,25.33435653,25.39493275,25.39897394,25.33287287,25.17697121,24.91609768,24.55744482,24.11774336,23.62034565,23.10931566,22.60790043,22.13385743,21.69526398,21.27522316,20.89564032,20.56552901,20.29312829,20.08791029,19.92004334,19.98939704,20.17159615,20.26059681,20.40103587,20.53693135,20.62821212,20.65364434,20.59040115,20.51266293,20.44190891,20.35082128,20.21946923,19.98537105,19.70281431,19.48401875,19.40235658,19.32167153,19.13524217,18.94929496,18.80188461,18.71213091,18.65945334,18.61067388,18.57797544,18.58813741,18.61640682,18.63725075,18.67010623,18.73021068,18.79686271,18.82564209,18.79178635,18.72907709,18.58543629,18.36571089,18.13331864,17.89584279
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,8.431906823,8.614639903,8.780827507,8.920464796,9.039015292,9.138343663,9.177777648,9.144785517,9.054626504,8.902203885,8.71889118,8.539743866,8.321243155,8.041277424,7.71767293,7.360848835,6.980905523,6.634597681,6.409787192,6.339508579,6.381089987,6.475968361,6.589504304,6.680090022,6.718805064,6.737799257,6.77647395,6.832002052,6.872770621,6.906343108,6.909510297,6.903634838,6.9305827,7.018043041,7.061084438,6.97688778,6.854721283,6.722404496,6.608929044,6.508120532,6.392164223,6.259343297,6.145322337,6.084486947,6.069078739,6.086983731,6.150941115,6.258543895,6.371788088,6.460665581,6.522421132,6.569386526,6.602762562,6.599385879,6.560457202,6.499246314,6.409673287,6.295063163,6.171927289,6.038935979,5.921081864,5.778283071,5.600273399,5.45095556,5.347501088
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,80.915318,80.720726,80.786892,80.73239,81.517675,81.589697,81.612537,82.194327,81.849288,81.596417,81.954012,82.295965,81.991479,82.374841,82.432251,82.736599,82.726164,83.226576,83.040119,83.181062,83.691283,84.16112,84.268895,84.615604,84.849259,84.896667,85.380125,85.497981,85.747029,85.997539,86.357642,86.824093,87.225037,87.226749,87.752491,87.80516,88.084836,88.302608,88.48375,88.575828,88.874827,89.099059,89.304086,89.330134,89.780492,89.916116,90.012421,90.170912,90.215967,90.555812,90.711675,90.986844,91.146196,91.250112,91.272054,91.252834,91.096972,91.370665,91.211809,91.361522,90.745061,90.662607,90.958933,91.146682,
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.2,73.9,74,73.9,74.8,74.8,74.8,75.3,74.9,75,75.2,75.5,75.3,75.5,75.7,75.9,75.9,76.4,76.3,76.4,76.8,77.1,77.2,77.4,77.8,77.6,77.9,78.2,78.3,78.4,78.8,78.9,79.2,79.1,79.6,79.5,79.7,79.9,79.7,79.9,80.2,80.4,80.5,80.7,81,81.2,81.4,81.6,81.7,82.1,82.4,83,82.8,82.9,83.2,82.8,83,83.1,83.1,83.275,82.4,82.671,83.018,83.208,
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,82,,,,,83,76,80,87.7,,84,84,82,82,,,84,,,76.1,,,,,,,,,,,,
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,186.211,188.075,187.241,189.592,184.218,183.972,184.217,176.861,179.013,182.491,180.28,176.118,179.238,179.114,176.043,171.309,171.754,166.946,168.413,168.58,161.793,157.789,153.708,149.983,145.223,143.619,141.297,137.5,134.77,130.522,129.27,126.785,122.738,122.623,118.108,118.726,116.981,114.328,113.608,112.402,108.445,107.221,105.896,103.807,99.554,97.444,99.258,97.559,96.722,94.258,91.112,87.266,83.863,85.055,83.741,84.408,85.495,84.428,86.971,85.187,94.193,97.829,90.741,,
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.1,0,0,0,0,0,0,0,0,,,,,
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.4,0.2,1.7,0.3,0.2,0.3,0.2,0.3,0.5,0.3,0.3,,,,,
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,12.85,12.62,12.09,12.33,11.89,12.08,11.66,12.48,12.37,12.03,12.93,13.06,13.91,13.1,13.12,12.65,12.25,13.96,14.46,13.5,14.65,,,
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",SH.STA.STNT.ME.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4,3.9,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.7,3.8,3.9
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.73613569,97.7415036,97.75740885,97.77309825,97.7886825,97.80405643,97.81931215,97.84523561,97.8710579,97.8966689,97.92212284,97.94741467,97.97266823,97.99297115,98.00711777,98.0211602,98.03514391,98.04897324,98.06269027,98.0763514,98.08985901,98.10325025,98.11648315,,
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.19,0.19,0.19,0.2,0.15,0.2,0.19,0.21,0.24,0.27,0.23,0.22,0.2,0.24,0.27,0.21,0.27,0.3,0.23,0.28,0.28,,,
"Prevalence of overweight, weight for height, male (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,7.6,7.7,7.7,7.8,7.9,8,8,8.1,8.2,8.2,8.3,8.4,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.4,8.4,8.3,8.3
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.8,0.1,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,,,,,
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,99.47477432,,
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,19.6,19.2,18.8,18.5,18.2,18,17.8,17.5,17.2,17,16.7,16.5,16.3,16,15.8,15.6,15.4,15.1,14.8,14.6,14.4,14.3,14.3,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,,,,,,,,,,,1.618,1.633,1.646,1.684,1.698,1.757,1.798,1.855,1.899,1.913,1.994,2.043,2.114,2.201,2.331,2.408,2.46,2.492,2.571,2.653,2.656,2.691,2.697,2.706,2.742,2.773,2.783,2.814,2.834,2.942,3.041,3.171,3.174,,
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,53,55,58,60,63,68,71,76,80,84,87,90,92,91,91,92,92,91,87,88,88,85,85,82,81,82,85,86,86,86,89,90,92,93,93,93,92,92,92,91,91,91,90,90,89
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2600,2500,2300,2100,1900,1800,1700,
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.6,19.1,18.6,17.7,17.1,16.7,16.3,15.8,15.2,14.9,14.2,13.7,13.6,13.4,13.4,13.3,13.1,13.4,12.7,13,13,,,
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,26.6,26.1,25.6,24.9,24.2,23.4,22.8,22.2,21.8,21.4,21,20.6,20,19.4,18.7,18,17.2,16.4,15.7,14.9,14.1,13.4,12.7,12.2,11.7,11.4,11.1,10.8,10.4,9.9,9.3,8.7,8.2,7.7,7.4,7.2,7,6.9,6.8,6.7,6.5,6.4,6.3,6.3,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2,1.9,1.9,1.8,1.8,1.7,1.6,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.21534105,,,,,,,,,,89.34276335,,,,,88.49000177,,,,88.15707653,,,,,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65855459,,,,,,,,,,7.316707083,,,,,8.066941066,,,,8.156775141,,,,,
Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,621,600,572,548,528,509,494,485,472,452,433,415,401,387,374,359,344,333,323,316,312,311,312,309,308,304,300,292,283,274,263,253,242,
