Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population ages 15-64, total",SP.POP.1564.TO,34036912,34274978,34595847,34824530,34931099,34998030,35024556,35030417,35012307,34986717,34979813,35011301,35052772,35088175,35126591,35196254,35320241,35474578,35643604,35843857,36057895,36258828,36472869,36735220,36975343,37111982,37196936,37279073,37237881,37173510,37200072,37207327,37202123,37225516,37303345,37429998,37570785,37717697,37892939,38111259,38383591,38670049,38932373,39149801,39409779,39782765,40189220,40568941,40879069,41122549,41364955,41540721,41578729,41606875,41732362,41883749,42076108,42156197,42221097,42323933,42334303,42499043,42888267,43391551,43830571
"Population ages 15-64, female",SP.POP.1564.FE.IN,17357287,17438016,17555788,17635756,17665683,17681233,17680311,17672696,17654751,17630238,17611274,17607992,17611287,17614325,17616595,17634623,17687656,17763264,17844001,17933279,18030280,18128736,18236018,18341707,18436320,18507393,18558548,18586844,18685749,18794585,18819924,18840824,18821089,18814606,18864899,18932874,19009460,19094848,19193627,19311382,19451702,19592944,19722303,19837965,19978846,20171862,20375791,20559281,20707110,20820559,20926522,21003022,21021811,21036594,21094187,21156654,21235703,21262232,21284626,21320661,21307458,21374840,21555838,21794088,21998793
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,7.683474061,7.522780442,7.230495239,6.966355918,6.78937814,6.673549106,6.617096039,6.627952552,6.689954791,6.794154428,6.954137169,7.152107298,7.345673632,7.529928872,7.704026759,7.834358955,7.899482632,7.907616236,7.861174766,7.756802492,7.621008198,7.478181976,7.302175391,7.07840253,6.805435906,6.493744489,6.169516446,5.872243769,5.726420098,5.72052259,5.771255704,5.87034691,5.968748671,6.034331253,6.063009948,6.094035577,6.136155939,6.156155847,6.123291216,6.096833083,6.082199754,6.068290571,6.096244176,6.158772016,6.165619899,6.081459877,5.985026274,5.886879466,5.799406506,5.721314719,5.636097225,5.528239146,5.409719381,5.32215449,5.283232444,5.297085968,5.369024368,5.488574103,5.621831244,5.737075208,5.817739809,5.875300922,5.938736251,5.974810762,5.966888474
"Population ages 0-14, total",SP.POP.0014.TO,12234655,12316220,12368489,12441212,12558376,12709485,12861753,13021160,13173775,13298804,13387990,13444742,13460104,13410331,13284063,13093899,12853483,12578046,12301853,12046944,11812467,11584307,11358463,11163550,11009282,10890857,10805125,10743546,10780934,10878053,10960979,11072325,11186064,11271758,11314304,11309400,11293138,11281378,11267995,11237970,11151045,11044194,10979524,10987537,11003605,10979715,10963979,10973469,11016120,11077298,11146399,11225056,11318384,11418179,11524803,11638126,11776609,11887495,11966348,12008345,11991445,11946457,11918083,11923870,11896520
"Population ages 0-14, female",SP.POP.0014.FE.IN,5965545,6001496,6021519,6053364,6108934,6181310,6254899,6334543,6414485,6481645,6524809,6547040,6553591,6530983,6468974,6374804,6255188,6118627,5982464,5858396,5746114,5637329,5530076,5431577,5353968,5300371,5261371,5232171,5263986,5325795,5367807,5423989,5477553,5516539,5536799,5532140,5520139,5511189,5504600,5489940,5445434,5392922,5362920,5364357,5368085,5356538,5350345,5355232,5375694,5405616,5439763,5478562,5523894,5572170,5624066,5678653,5744513,5797186,5834360,5852715,5842732,5820476,5806878,5809571,5796234
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,68.272315,67.817327,67.898122,67.586499,68.662483,68.691705,68.770521,70.012966,69.607479,69.071293,69.639755,70.399919,70.047539,70.402586,70.82889,71.430803,71.361109,72.178997,72.031318,72.226453,73.071209,73.798924,74.324526,74.684542,75.283261,75.542492,75.919189,76.655888,76.96071,77.760242,78.178686,78.739312,79.406232,79.52292,80.403273,80.437064,80.816037,81.439714,81.566036,81.935605,82.510208,82.87486,83.045765,83.314375,84.030553,84.366557,84.347087,84.683433,84.952265,85.431861,85.821332,86.337023,86.754937,86.612676,86.816415,86.667292,86.655961,86.81819,86.642959,86.911155,85.50846,85.455792,85.908931,86.257873,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.12682927,70.87804878,70.92682927,70.82682927,71.62439024,71.62439024,71.57317073,72.12439024,71.72439024,71.72195122,71.97317073,72.27317073,72.12439024,72.32439024,72.52439024,72.72439024,72.77560976,73.22439024,73.17560976,73.27560976,73.67560976,74.02682927,74.17804878,74.37804878,74.77804878,74.62926829,74.92926829,75.2804878,75.3804878,75.58292683,75.8804878,76.08292683,76.43414634,76.38536585,76.88536585,76.83658537,77.08780488,77.21097561,77.1902439,77.3902439,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.36912195,80.3317561,80.64731707,81.01121951,81.23809756,
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,20,19.7,19.2,18.8,18.2,17.6,17.1,16.8,16.3,16,15.7,15.4,15,14.5,14,13.5,12.8,12.3,11.8,11.2,10.6,9.9,9.4,9,8.7,8.4,8.1,7.9,7.6,7.2,6.8,6.4,6,5.7,5.5,5.3,5.2,5.2,5.1,5,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.5,17.9,18.3,18.5,18.8,18.3,17.9,17.5,17.2,16.6,16.2,16.1,14.9,13.9,13.1,12.4,12,11.7,12.2,13.1,13.4,13,12.8,12.8,12.9,13.3,13.3,13.7,13.8,13.6,13.9,13.8,13.6,13.2,13,12.6,12.6,12.5,12.3,11.9,11.5,11.3,11.3,11.7,11.9,12,12.3,12.6,12.9,12.7,12.9,12.8,12.8,12.1,12,11.9,11.8,11.4,11,10.645,10.204,10.241,10.1,10.023,
